Clay,Stir_Time,Stir_time_min,Res_NTU,Perc_Red_Tar,Time,TRE,Perc_Red,Red_Eff,,Variable,Avg,Std. Dev.,,Clay,Stir_Time,Res_NTU,Perc_Red_Tar,Time,TRE,Perc_Red,Red_Eff,,Variable,Avg,Std. Dev.
Bentonite,10 sec,0.17,212,77.70,12,6.58,70.2,5.85,,Time,12,0,,Bentonite,Control,258,73.06,12,6.09,71.0,5.92,,Time,12,0
Bentonite,10 sec,0.17,261,72.30,12,6.03,70.3,5.86,,Res_NTU,241.50,17.34,,Bentonite,Control,274,70.43,12,5.87,68.4,5.70,,Res_NTU,265.33,26.69
Bentonite,10 sec,0.17,246,74.15,12,6.18,71.9,5.99,,%_red,72.4,2.0,,Bentonite,Control,270,71.14,12,5.93,69.2,5.76,,%_red,69.8,2.8
Bentonite,10 sec,0.17,234,75.00,12,6.25,72.8,6.07,,R(TAR) %,74.44,1.88,,Bentonite,Control,276,70.81,12,5.90,68.8,5.73,,R(TAR) %,71.90,2.94
Bentonite,10 sec,0.17,262,72.22,12,6.02,73.0,6.08,,TRE,6.22,0.19,,Bentonite,Control,301,68.28,12,5.69,66.3,5.53,,TRE,5.99,0.25
Bentonite,10 sec,0.17,234,75.24,12,6.27,76.1,6.34,,,,,,Bentonite,Control,213,77.70,12,6.48,75.4,6.28,,,,
Bentonite,30 sec,0.5,255,73.56,12,6.13,68.5,5.71,,Time,12,0,,Green Sea,Control,69,92.54,8,11.57,88.7,11.09,,Time,7.92,0.61
Bentonite,30 sec,0.5,273,70.48,12,5.87,70.2,5.85,,Res_NTU,258.17,8.39,,Green Sea,Control,93,88.61,9,9.85,85.1,9.46,,Res_NTU,86.50,9.23
Bentonite,30 sec,0.5,260,72.26,12,6.02,70.2,5.85,,%_red,70.4,1.0,,Green Sea,Control,81,90.51,7,12.93,86.8,12.40,,%_red,86.11666667,1.3
Bentonite,30 sec,0.5,253,72.66,12,6.06,70.5,5.88,,R(TAR) %,72.49,1.07,,Green Sea,Control,97,88.16,8,11.02,84.7,10.59,,R(TAR) %,89.725,1.46
Bentonite,30 sec,0.5,262,72.25,12,6.02,71.5,5.96,,TRE,6.04,0.09,,Green Sea,Control,91,88.98,8,11.12,85.5,10.69,,TRE,11.405,0.94
Bentonite,30 sec,0.5,246,73.72,12,6.14,71.5,5.96,,,,,,Green Sea,Control,88,89.55,7.5,11.94,85.9,11.45,,,,
Bentonite,1 min,1,253,73.00,12,6.08,68.8,5.73,,Time,12,0,,Kaolin,Control,422,53.0,10,5.3,51.4,5.14,,Time,9.5,0.41
Bentonite,1 min,1,265,71.26,12,5.94,69.2,5.77,,Res_NTU,257.67,9.69,,Kaolin,Control,446,51.0,9,5.67,49.6,5.51,,Res_NTU,441.17,23.62
Bentonite,1 min,1,258,72.00,12,6.00,70.4,5.87,,%_red,70.3,1.1,,Kaolin,Control,443,50.9,9,5.66,49.5,5.50,,%_red,49.53333333,2.7
Bentonite,1 min,1,255,73.00,12,6.08,70.4,5.87,,R(TAR) %,72.42,1.12,,Kaolin,Control,489,45.2,10,4.52,43.9,4.39,,R(TAR) %,51.0,2.78
Bentonite,1 min,1,273,71.00,12,5.92,71.1,5.93,,TRE,6.04,0.09,,Kaolin,Control,419,53.8,9.5,5.66,52.3,5.51,,TRE,5.378333333,0.41
