Clay,Stir_Time,TRE100,Res_NTU,Perc_Red,Time,Red_Eff,TimeCat,Mean,StDev,,Clay,Stir_Time,TRE100,Res_NTU,Perc_Red,Time,Red_Eff,Mean,StDev,,TRE Min,TRE Max,Clay,Stir_Time,Mean,StDev,,"Table # | Means, standard deviations, and differences iacross mixing time means (DiffMeans) among clay types. Higher positive DiffMeans indicate better returns on investment of mixing time within that clay type.",,,,,,,,,,
Bentonite,10s,0.54,262,70.2,12,5.85,1,,,,Bentonite,Control,0.70,258,71.0,12,5.92,,,,5.62,48.55,Bentonite,10s,0.97,0.42,,Bentonite,,Mean,StDev,DiffMean,,Kaolin,,Mean,StDev,DiffMean
Bentonite,10s,0.56,261,70.3,12,5.86,1,,,,Bentonite,Control,0.19,274,68.4,12,5.70,,,,5.61667,48.55000,Bentonite,30s,0.58,0.21,,,10s,0.97,0.42,--,,,10s,10.92,1.06,--
Bentonite,10s,0.87,246,71.9,12,5.99,1,,,,Bentonite,Control,0.34,270,69.2,12,5.76,,,,,,Bentonite,1m,0.57,0.24,,,30s,0.58,0.21,-0.38,,,30s,28.41,3.36,17.49
Bentonite,10s,1.05,234,72.8,12,6.07,1,,,,Bentonite,Control,0.27,276,68.8,12,5.73,,,,,,Bentonite,5m,0.49,0.30,,,1m,0.57,0.24,-0.01,,,1m,29.54,2.05,1.14
Bentonite,10s,1.09,234,73.0,12,6.08,1,,,,Bentonite,Control,-0.21,301,66.3,12,5.53,,,,,,Bentonite,10m,0.58,0.55,,,5m,0.49,0.30,-0.08,,,5m,62.16,10.66,32.61
Bentonite,10s,1.69,212,76.1,12,6.34,1,0.97,0.42,,Bentonite,Control,1.55,213,75.4,12,6.28,0.47,0.60,,,,Green Sea,10s,15.56,2.29,,,10m,0.58,0.55,0.09,,,10m,54.64,9.57,-7.51
Bentonite,30s,0.21,273,68.5,12,5.71,2,,,,Green Sea,Control,12.74,69,88.7,8,11.09,,,,,,Green Sea,30s,25.70,3.57,,Green Sea,,,,,,Rhassoul,,,,
Bentonite,30s,0.54,260,70.2,12,5.85,2,,,,Green Sea,Control,8.94,93,85.1,9,9.46,,,,,,Green Sea,1m,27.56,3.58,,,10s,15.56,2.29,--,,,10s,12.50,2.08,--
Bentonite,30s,0.54,262,70.2,12,5.85,2,,,,Green Sea,Control,15.80,81,86.8,7,12.40,,,,,,Green Sea,5m,72.78,21.15,,,30s,25.70,3.57,10.14,,,30s,18.95,5.44,6.45
Bentonite,30s,0.60,253,70.5,12,5.88,2,,,,Green Sea,Control,11.58,97,84.7,8,10.59,,,,,,Green Sea,10m,62.11,0.41,,,1m,27.56,3.58,1.86,,,1m,19.39,7.22,0.44
Bentonite,30s,0.80,255,71.5,12,5.96,2,,,,Green Sea,Control,11.81,91,85.5,8,10.69,,,,,,Kaolin,10s,10.92,1.06,,,5m,72.78,21.15,45.23,,,5m,32.94,6.12,13.55
Bentonite,30s,0.80,246,71.5,12,5.96,2,0.58,0.21,,Green Sea,Control,13.59,88,85.9,7.5,11.45,12.41,2.28,,,,Kaolin,30s,28.41,3.36,,,10m,62.11,0.41,-10.67,,,10m,28.79,8.85,-4.15
Bentonite,1m,0.27,273,68.8,12,5.73,3,,,,Kaolin,Control,-1.11,422,51.4,10,5.14,,,,,,Kaolin,1m,29.54,2.05,,,,,,,,,,,,
Bentonite,1m,0.35,265,69.2,12,5.77,3,,,,Kaolin,Control,-0.25,446,49.6,9,5.51,,,,,,Kaolin,5m,62.16,10.66,,,,,,,,,,,,
Bentonite,1m,0.58,258,70.4,12,5.87,3,,,,Kaolin,Control,-0.27,443,49.5,9,5.50,,,,,,Kaolin,10m,54.64,9.57,,,,,,,,,,,,
Bentonite,1m,0.58,255,70.4,12,5.87,3,,,,Kaolin,Control,-2.86,489,43.9,10,4.39,,,,,,Rhassoul,10s,12.50,2.08,,,,,,,,,,,,
Bentonite,1m,0.72,253,71.1,12,5.93,3,,,,Kaolin,Control,-0.26,419,52.3,9.5,5.51,,,,,,Rhassoul,1m,18.95,5.44,,,,,,,,,,,,
Bentonite,1m,0.91,242,72.1,12,6.01,3,0.57,0.24,,Kaolin,Control,-0.70,428,50.5,9.5,5.32,-0.91,1.01,,,,Rhassoul,30s,19.39,7.22,,,,,,,,,,,,
Bentonite,5m,0.00,281,67.4,12,5.62,4,,,,Rhassoul,Control,7.76,241,71.6,8,8.95,,,,,,Rhassoul,5m,32.94,6.12,,,,,,,,,,,,
Bentonite,5m,0.37,267,69.3,12,5.78,4,,,,Rhassoul,Control,4.64,203,76.1,10,7.61,,,,,,Rhassoul,10m,28.79,8.85,,,,,,,,,,,,
Bentonite,5m,0.47,267,69.8,12,5.82,4,,,,Rhassoul,Control,4.13,223,73.9,10,7.39,,,,,,,,,,,,,,,,,,,,,
Bentonite,5m,0.58,254,70.4,12,5.87,4,,,,Rhassoul,Control,5.48,207,75.7,9.5,7.97,,,,,,,,,,,,,,,,,,,,,
Bentonite,5m,0.62,255,70.6,12,5.88,4,,,,Rhassoul,Control,7.47,211,75.0,8.5,8.82,,,,,,,,,,,,,,,,,,,,,
Bentonite,5m,0.89,246,72.0,12,6.00,4,0.49,0.30,,Rhassoul,Control,7.11,220,73.7,8.5,8.67,6.10,1.55,,,,,,,,,,,,,,,,,,,
Bentonite,10m,0.04,286,67.6,12,5.63,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
