Clay,Stir_Time,TRE,TRE100,Avg,Std. Dev.,TRE100_form,,TRE Min,TRE Max,
Bentonite,Control,6.09,3.41,,,3.41,,4.52,50.58,
Bentonite,Control,5.87,2.93,,,2.93,,,,
Bentonite,Control,5.93,3.06,,,3.06,,,,
Bentonite,Control,5.90,3,,,3.00,,,,
Bentonite,Control,5.69,2.54,,,2.54,,,,
Bentonite,Control,6.48,4.26,3.20,0.54,4.26,,,,
Bentonite,10 sec,6.58,4.47,,,4.47,,,,
Bentonite,10 sec,6.03,3.28,,,3.28,,,,
Bentonite,10 sec,6.18,3.6,,,3.60,,,,
Bentonite,10 sec,6.25,3.76,,,3.76,,,,
Bentonite,10 sec,6.02,3.26,,,3.26,,,,
Bentonite,10 sec,6.27,3.8,3.70,0.41,3.80,,,,
Bentonite,30 sec,6.13,3.5,,,3.50,,,,
Bentonite,30 sec,5.87,2.93,,,2.93,,,,
Bentonite,30 sec,6.02,3.26,,,3.26,,,,
Bentonite,30 sec,6.06,3.34,,,3.34,,,,
Bentonite,30 sec,6.02,3.26,,,3.26,,,,
Bentonite,30 sec,6.14,3.52,3.30,0.20,3.52,,,,
Bentonite,1 min,6.08,3.39,,,3.39,,,,
Bentonite,1 min,5.94,3.08,,,3.08,,,,
Bentonite,1 min,6.00,3.21,,,3.21,,,,
Bentonite,1 min,6.08,3.39,,,3.39,,,,
Bentonite,1 min,5.92,3.04,,,3.04,,,,
Bentonite,1 min,6.19,3.63,3.29,0.20,3.63,,,,
Bentonite,5 min,6.00,3.21,,,3.21,,,,
Bentonite,5 min,6.04,3.3,,,3.30,,,,
Bentonite,5 min,5.75,2.67,,,2.67,,,,
Bentonite,5 min,6.08,3.39,,,3.39,,,,
Bentonite,5 min,6.17,3.58,,,3.58,,,,
Bentonite,5 min,5.94,3.08,3.20,0.28,3.08,,,,
Bentonite,10 min,6.33,3.93,,,3.93,,,,
Bentonite,10 min,6.22,3.69,,,3.69,,,,
Bentonite,10 min,6.13,3.5,,,3.50,,,,
Bentonite,10 min,5.93,3.06,,,3.06,,,,
Bentonite,10 min,5.80,2.78,,,2.78,,,,
Bentonite,10 min,5.83,2.84,3.30,0.43,2.84,,,,
Green Sea,Control,11.57,15.31,,,15.31,,,,
Green Sea,Control,9.85,11.57,,,11.57,,,,
Green Sea,Control,12.93,18.26,,,18.26,,,,
Green Sea,Control,11.02,14.11,,,14.11,,,,
Green Sea,Control,11.12,14.33,,,14.33,,,,
Green Sea,Control,11.94,16.11,14.95,2.04,16.11,,,,
Green Sea,10 sec,12.58,17.5,,,17.50,,,,
Green Sea,10 sec,11.2,14.5,,,14.50,,,,
Green Sea,10 sec,14.29,21.21,,,21.21,,,,
Green Sea,10 sec,12.64,17.63,,,17.63,,,,
Green Sea,10 sec,12.67,17.69,,,17.69,,,,
Green Sea,10 sec,13.42,19.32,17.97,2.03,19.32,,,,
Green Sea,30 sec,16.82,26.7,,,26.70,,,,
Green Sea,30 sec,20.08,33.78,,,33.78,,,,
Green Sea,30 sec,16.69,26.42,,,26.42,,,,
Green Sea,30 sec,15.44,23.71,,,23.71,,,,
Green Sea,30 sec,16.84,26.75,,,26.75,,,,
Green Sea,30 sec,18.27,29.85,27.87,3.19,29.85,,,,
Green Sea,1 min,16.86,26.79,,,26.79,,,,
Green Sea,1 min,20.1,33.83,,,33.83,,,,
Green Sea,1 min,20.15,33.93,,,33.93,,,,
Green Sea,1 min,16.77,26.6,,,26.60,,,,
Green Sea,1 min,16.89,26.86,,,26.86,,,,
Green Sea,1 min,18.27,29.85,29.64,3.19,29.85,,,,
Green Sea,5 min,50.18,99.13,,,99.13,,,,
Green Sea,5 min,50.58,100,,,100.00,,,,*interesting spread of results here...maybe we should repeat these...
Green Sea,5 min,33.79,63.55,,,63.55,,,,
Green Sea,5 min,33.34,62.57,,,62.57,,,,
Green Sea,5 min,28.98,53.1,,,53.10,,,,
Green Sea,5 min,33.56,63.05,73.57,18.72,63.05,,,,
Green Sea,10 min,33.61,63.16,,,63.16,,,,
Green Sea,10 min,33.6,63.14,,,63.14,,,,
